Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,70,27,1646,5.5,12.6,0.439,1.1,3.1,0.348,4.4,9.5,0.469,1.6,2.8,0.587,3.1,7,10.1,1.7,0.8,0.8,1.7,3.2,13.7
2,Steven Adams,C,28,MEM,74,73,1953,3.8,7,0.545,0,0,0,3.8,7,0.546,2,3.6,0.548,6.3,7.3,13.7,4.6,1.2,1.1,2.1,2.7,9.6
3,Bam Adebayo,C,24,MIA,55,55,1792,8,14.4,0.557,0,0.1,0,8,14.2,0.561,5,6.6,0.752,2.7,8.5,11.2,3.7,1.6,0.9,3,3.4,21
4,Santi Aldama,PF,21,MEM,30,0,319,4.9,12.3,0.394,0.5,4.6,0.098,4.4,7.7,0.574,1.6,2.7,0.583,2.8,5.3,8.1,1.8,0.3,1.1,1.2,3.6,11.7
5,LaMarcus Aldridge,C,36,BRK,47,12,1050,8.6,15.7,0.55,0.5,1.6,0.304,8.2,14.1,0.578,3.1,3.5,0.873,2.5,6.3,8.8,1.4,0.5,1.6,1.5,2.7,20.8
6,Nickeil Alexander-Walker,SG,23,TOT,64,21,1460,6.2,16.7,0.372,2.6,8.3,0.31,3.6,8.4,0.433,2,2.7,0.743,0.9,3.7,4.6,3.8,1.1,0.6,2.3,2.5,17
7,Grayson Allen,SG,26,MIL,66,61,1805,5.1,11.3,0.448,3.2,7.8,0.409,1.9,3.6,0.533,1.3,1.5,0.865,0.6,3.8,4.4,2,0.9,0.4,0.9,1.9,14.6
8,Jarrett Allen,C,23,CLE,56,56,1809,7.3,10.8,0.677,0,0.2,0.1,7.3,10.6,0.688,3.3,4.6,0.708,3.8,8.2,12,1.8,0.9,1.5,1.9,1.9,18
9,Jose Alvarado,PG,23,NOP,51,1,767,5.5,12.6,0.44,1.5,4.8,0.304,4.1,7.8,0.524,1.5,2.1,0.711,1.1,3.2,4.3,6.5,3.1,0.3,1.6,3.3,14
10,Justin Anderson,SF,28,TOT,16,6,316,4.1,10.8,0.379,1.7,6.7,0.254,2.4,4.1,0.583,1.7,2.2,0.789,0.5,4.8,5.2,3.8,0.9,0.7,0.9,2.5,11.6
11,Kyle Anderson,PF,28,MEM,66,10,1415,5,11.3,0.439,0.8,2.6,0.324,4.1,8.8,0.474,1.6,2.5,0.626,1.7,7.3,9,4.4,1.9,1.1,1.7,2.6,12.4
12,Giannis Antetokounmpo,PF,27,MIL,65,65,2139,11.3,20.3,0.554,1.2,4,0.298,10.1,16.4,0.616,9,12.5,0.72,2.2,10.5,12.7,6.3,1.1,1.5,3.6,3.5,32.7
13,Thanasis Antetokounmpo,SF,29,MIL,46,5,427,4.9,9.4,0.523,0.1,0.9,0.091,4.8,8.4,0.57,1.8,3,0.583,3.4,4.7,8.1,1.7,1.3,0.9,1.8,5.4,11.6
14,Carmelo Anthony,PF,37,LAL,69,3,1793,6.4,14.5,0.441,3,8,0.375,3.4,6.5,0.521,2.7,3.2,0.83,1.2,4.5,5.8,1.4,0.9,1,1.2,3.3,18.5
15,Cole Anthony,PG,21,ORL,65,65,2059,6.2,15.9,0.391,2.3,6.8,0.338,3.9,9.1,0.432,3.8,4.4,0.854,0.6,5.5,6.1,6.5,0.8,0.3,3,3,18.6
16,OG Anunoby,SF,24,TOR,47,47,1703,6.5,14.5,0.445,2.4,6.6,0.369,4,7.9,0.508,1.8,2.5,0.75,1.5,3.9,5.4,2.6,1.5,0.5,1.6,2.8,17.2
17,Ryan Arcidiacono,PG,27,NYK,8,0,40,3.6,5.4,0.667,2.7,3.6,0.75,0.9,1.8,0.5,0,0,,0,3.6,3.6,0.9,0,0,0.9,0,9.9
18,Trevor Ariza,SF,36,LAL,24,11,462,2.6,7.7,0.333,1.6,5.8,0.27,1,1.9,0.52,0.8,1.4,0.556,0.8,5.6,6.4,2.1,1,0.5,0.9,1.6,7.5
19,D.J. Augustin,PG,34,TOT,52,2,822,4,9.2,0.438,2.9,6.7,0.435,1.1,2.5,0.446,1.5,1.7,0.872,0.5,2.4,2.8,4.3,0.7,0,2.4,1.5,12.5
20,Deni Avdija,SF,21,WAS,80,6,1927,4.5,10.4,0.432,1.5,4.7,0.32,3,5.7,0.523,1.9,2.5,0.756,0.9,6.8,7.8,3,1.1,0.8,1.5,3.5,12.4
21,Joel Ayayi,SG,21,WAS,7,0,20,1.8,10.8,0.167,0,1.8,0,1.8,9,0.2,0,0,,1.8,3.6,5.4,7.2,0,0,0,0,3.6
22,Deandre Ayton,C,23,PHO,57,57,1679,9.3,14.6,0.638,0.1,0.4,0.353,9.2,14.2,0.645,2.3,3,0.746,3.1,9.4,12.5,1.7,0.8,0.8,1.9,3,21
23,Udoka Azubuike,C,22,UTA,17,6,195,6.8,9,0.755,0,0,,6.8,9,0.755,1.1,2,0.545,3.3,9.8,13.1,0,0.2,2,2.2,4.6,14.8
24,Marvin Bagley III,PF,22,TOT,48,25,1146,7.1,14,0.504,0.7,3,0.237,6.3,11,0.579,2.1,3.2,0.663,3.3,7.3,10.6,1.1,0.7,0.6,1.2,2.9,17
25,LaMelo Ball,PG,20,CHO,72,72,2329,7.9,18.6,0.426,3.2,8.3,0.38,4.7,10.2,0.464,3.2,3.6,0.869,1.6,5.8,7.4,8.4,1.8,0.5,3.6,3.6,22.2
26,Lonzo Ball,PG,24,CHI,35,35,1212,4.8,11.4,0.423,3.3,7.7,0.423,1.5,3.7,0.423,0.6,0.8,0.75,1,4.6,5.6,5.3,1.9,0.9,2.4,2.5,13.5
27,Mo Bamba,C,23,ORL,69,67,1791,5.8,12.1,0.477,2.1,5.4,0.376,3.7,6.7,0.559,1.1,1.4,0.786,2.9,8.3,11.3,1.6,0.8,2.3,1.5,3.6,14.7
28,Desmond Bane,SF,23,MEM,74,74,2223,8,17.5,0.459,3.6,8.4,0.429,4.5,9.2,0.486,2.2,2.4,0.901,0.7,4.6,5.4,3.3,1.4,0.5,1.8,3,21.9
29,Dalano Banton,SF,22,TOR,64,1,696,4.3,10.4,0.411,0.7,2.6,0.255,3.6,7.8,0.464,1.3,2.3,0.591,2,4.4,6.4,5.1,1.4,0.5,2.7,3.5,10.6
30,Cat Barber,PG,27,ATL,3,0,13,0,11.1,0,0,0,,0,11.1,0,0,11.1,0,2.8,5.5,8.3,8.3,0,0,2.8,2.8,0
31,Harrison Barnes,PF,29,SAC,75,75,2548,5.5,11.7,0.47,2,5,0.395,3.5,6.7,0.527,4.8,5.8,0.83,1.2,4.9,6,2.6,0.7,0.2,1.7,1.3,17.8
32,Scottie Barnes,PF,20,TOR,71,71,2521,6.3,12.9,0.491,0.8,2.7,0.301,5.5,10.2,0.541,2.2,3,0.732,2.7,5,7.7,3.5,1.1,0.8,1.9,2.6,15.7
33,RJ Barrett,SF,21,NYK,69,69,2402,7.2,17.7,0.406,2.1,6.1,0.342,5.1,11.7,0.44,4.3,6,0.716,1,5.1,6.1,3.1,0.6,0.2,2.3,2.1,20.8
34,Will Barton,SG,31,DEN,70,70,2247,6.2,14.2,0.437,2.5,6.8,0.366,3.7,7.4,0.503,1.6,2,0.797,0.7,4.7,5.4,4.4,0.9,0.5,2,1.8,16.5
35,Paris Bass,SF,26,PHO,2,0,7,10.3,30.9,0.333,0,10.3,0,10.3,20.6,0.5,10.3,10.3,1,10.3,10.3,20.6,0,5.1,0,10.3,10.3,30.9
36,Charles Bassey,PF,21,PHI,23,0,168,6.4,10.1,0.638,0,0.9,0,6.4,9.2,0.698,1.9,2.6,0.75,4.7,8.6,13.3,1.5,1.1,3.6,1.7,6.9,14.8
37,Keita Bates-Diop,SF,26,SAS,56,13,897,4.9,9.6,0.517,0.7,2.1,0.327,4.3,7.5,0.57,1.6,2.2,0.732,2.3,6.5,8.7,1.6,1,0.6,1.6,2.4,12.2
38,Nicolas Batum,PF,33,LAC,58,53,1436,4.4,9.6,0.461,2.7,6.7,0.399,1.8,2.9,0.603,0.6,1,0.658,0.7,5.5,6.2,2.4,1.4,1.1,1,2,12.2
39,Kent Bazemore,SF,32,LAL,38,14,531,3.1,9.3,0.328,2,5.4,0.367,1.1,3.9,0.276,0.9,1.2,0.765,0.9,3.7,4.5,2.3,1.7,0.5,1.4,4.6,8.9
40,Darius Bazley,PF,21,OKC,69,53,1924,5.1,12.1,0.422,1.5,5,0.297,3.6,7.1,0.511,2.2,3.2,0.688,1.3,6.8,8.2,1.8,1.1,1.3,1.7,1.3,13.9
41,Bradley Beal,SG,28,WAS,40,40,1439,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
42,Malik Beasley,SG,25,MIN,77,16,1933,6.1,15.5,0.393,4.4,11.5,0.379,1.7,3.9,0.433,0.9,1.1,0.81,0.5,3.7,4.2,2.1,0.8,0.2,0.8,1.6,17.4
43,Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,0,0,,18,0,18,0,18,0,0,36,0
44,DeAndre' Bembry,SF,27,TOT,56,20,1026,4.4,7.8,0.561,0.5,1.3,0.417,3.8,6.5,0.589,0.7,1.2,0.6,1.5,4.2,5.7,2.3,1.7,0.9,1.1,4,10
45,Dāvis Bertāns,PF,29,TOT,54,0,772,4.4,12.4,0.353,3.4,10.4,0.327,1,2,0.488,1.7,1.9,0.9,0.5,4.6,5,1.2,0.7,0.5,0.9,3.9,13.8
46,Patrick Beverley,PG,33,MIN,56,52,1433,4.3,10.7,0.407,2.1,5.9,0.347,2.3,4.7,0.481,2.3,3.2,0.724,1.5,4.3,5.9,6.4,1.7,1.3,1.8,4.2,13.1
47,Saddiq Bey,SF,22,DET,80,80,2658,6,15,0.397,2.8,8.1,0.35,3.1,6.9,0.452,2.8,3.4,0.827,1.4,4.5,5.9,3.1,1,0.2,1.3,1.7,17.6
48,Khem Birch,C,29,TOR,52,25,932,3.5,7.2,0.481,0,0.5,0,3.5,6.7,0.517,2,2.7,0.746,4.4,4.3,8.7,2,1,1,1,3.9,9
49,Goga Bitadze,C,22,IND,50,16,729,6.5,12.4,0.52,1.1,4,0.288,5.3,8.5,0.628,3.2,4.6,0.681,3.9,4.8,8.7,2.7,1,2.1,2.3,5.3,17.2
50,Bismack Biyombo,C,29,PHO,35,3,480,6.1,10.4,0.587,0,0,,6.1,10.4,0.587,2.5,5,0.515,4.6,7.3,11.8,1.6,0.9,1.8,1.9,5,14.7
51,Nemanja Bjelica,C,33,GSW,68,0,1088,5,10.9,0.46,1.7,4.8,0.359,3.3,6.1,0.541,1.8,2.5,0.711,1.9,7.4,9.2,4.9,1.2,0.9,2.7,4.1,13.5
52,Eric Bledsoe,PG,32,LAC,54,29,1361,5.2,12.4,0.421,1.3,4.3,0.313,3.9,8.1,0.479,2.4,3.1,0.761,0.7,4.1,4.8,6,1.8,0.5,3.1,2.2,14.1
53,Keljin Blevins,SF,26,POR,28,1,309,3.6,11.3,0.32,2.2,7.2,0.306,1.4,4.1,0.343,0.7,1.3,0.545,1.9,2.9,4.8,2.1,1.3,0.1,1.9,2.9,10.1
54,Bogdan Bogdanović,SG,29,ATL,61,27,1784,6.6,15.4,0.432,3.3,8.9,0.367,3.4,6.5,0.522,1.8,2.1,0.858,0.6,4.2,4.8,3.7,1.3,0.3,1.4,2.6,18.4
55,Bojan Bogdanović,PF,32,UTA,68,68,2099,7.1,15.6,0.456,3.1,7.8,0.389,4.1,7.8,0.523,3.8,4.4,0.855,1,4,5,2,0.5,0,2,1.9,21
56,Bol Bol,PF,22,DEN,14,0,81,6.7,12,0.556,0.4,1.8,0.25,6.2,10.2,0.609,0.9,2.2,0.4,1.8,7.1,8.9,2.2,0.4,0.9,1.8,1.8,14.7
57,Leandro Bolmaro,SF,21,MIN,34,2,223,2.1,7.3,0.289,0.6,2.7,0.235,1.5,4.5,0.321,1.5,1.8,0.818,2.4,4,6.5,2.7,1,0,2.1,4,6.3
58,Isaac Bonga,SF,22,TOR,15,0,69,1.6,6.8,0.231,0.5,2.1,0.25,1,4.7,0.222,2.6,4.2,0.625,2.1,1.6,3.7,2.1,4.2,1,1,5.2,6.3
59,Devin Booker,SG,25,PHO,67,67,2307,10.1,21.8,0.465,2.8,7.4,0.383,7.3,14.4,0.508,4.8,5.6,0.866,0.7,4.6,5.3,5.1,1.2,0.4,2.5,2.7,27.9
60,Brandon Boston Jr.,SG,20,LAC,50,0,722,5.8,15.5,0.377,1.7,5.4,0.312,4.1,10,0.413,2.8,3.4,0.838,0.8,4.4,5.2,2.3,1.2,0.6,1.5,2.1,16.2
61,Chris Boucher,PF,29,TOR,77,9,1614,5.8,12.4,0.468,1.4,4.8,0.295,4.3,7.5,0.579,3.1,4,0.767,3.9,6.8,10.7,0.5,1.1,1.6,0.9,3.7,16.1
62,James Bouknight,SG,21,CHO,29,0,298,5.8,16.6,0.35,2.1,5.9,0.347,3.7,10.6,0.352,3.3,3.7,0.871,2.5,3.3,5.8,2.8,0.8,0.1,1.7,3.4,16.9
63,Avery Bradley,SG,31,LAL,62,45,1406,3.8,9,0.423,2.1,5.4,0.39,1.7,3.6,0.471,0.4,0.5,0.889,0.8,2.7,3.5,1.2,1.4,0.2,1,3,10.1
64,Tony Bradley,C,24,CHI,54,7,534,4.5,7.8,0.583,0,0,,4.5,7.8,0.583,1.2,1.8,0.667,4.1,7.9,12,1.8,0.7,2.2,2.1,3.9,10.2
65,Ignas Brazdeikis,SF,23,ORL,40,1,480,5.3,12.2,0.436,1.9,5.6,0.333,3.4,6.6,0.523,1.2,1.9,0.64,1.5,3.2,4.6,2.5,0.7,0.1,1.2,3.3,13.7
66,Mikal Bridges,SF,25,PHO,80,80,2814,5.8,10.8,0.533,1.5,4,0.371,4.3,6.9,0.627,1.6,2,0.83,0.9,3.4,4.4,2.3,1.2,0.5,0.9,1.9,14.6
67,Miles Bridges,PF,23,CHO,77,77,2757,7.6,15.4,0.493,1.9,5.9,0.331,5.6,9.5,0.593,3.4,4.3,0.798,1.2,5.9,7.1,3.8,1,0.8,1.9,2.5,20.5
68,Oshae Brissett,SF,23,IND,65,23,1500,4.6,11.4,0.403,1.8,5.3,0.338,2.8,6.1,0.461,2.5,3.6,0.702,2.5,5.8,8.2,1.6,1,0.7,1.3,2.6,13.6
69,Malcolm Brogdon,PG,29,IND,36,36,1206,7.3,16.2,0.448,1.7,5.6,0.312,5.5,10.7,0.518,4.3,5,0.856,1,4.5,5.5,6.3,0.9,0.4,2.3,2.1,20.5
70,Armoni Brooks,SG-PG,23,TOT,52,9,811,4.3,12.5,0.344,3.2,10.7,0.302,1.1,1.8,0.6,0.7,0.8,0.842,0.8,3.5,4.3,2.6,1.2,0.5,1.2,3.1,12.6
71,Dillon Brooks,SF,26,MEM,30,29,835,9.1,21.3,0.428,1.9,6.1,0.303,7.3,15.2,0.479,3.8,4.5,0.846,1.3,3,4.2,3.5,1.5,0.3,2.1,4.3,23.9
72,Bruce Brown,SF,25,BRK,70,43,1696,5.1,10.2,0.503,0.7,1.9,0.398,4.4,8.3,0.527,1.9,2.5,0.748,2,4.9,7,2.9,1.5,1,1.1,3.6,12.9
73,Charlie Brown Jr.,SG,24,TOT,22,2,177,2,7.9,0.256,0.2,2.4,0.083,1.8,5.5,0.333,1.8,2,0.9,2.8,3.7,6.5,1.2,2,0.8,1,3.7,6.1
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,2,104,3.5,11.1,0.313,2.1,6.2,0.333,1.4,4.8,0.286,1.7,2.1,0.833,0.3,5.2,5.5,1.4,0.7,0,0.3,2.4,10.7
75,Greg Brown III,SF,20,POR,45,4,572,4.8,11,0.44,1.1,3.2,0.333,3.8,7.8,0.484,2.8,4.1,0.677,2.4,5.3,7.7,1.8,1.6,1.3,1.8,5.3,13.5
76,Jaylen Brown,SF,25,BOS,64,64,2160,9.3,19.7,0.474,2.7,7.5,0.361,6.6,12.2,0.544,3.9,5.2,0.762,0.9,5.6,6.5,3.6,1.1,0.3,2.8,2.6,25.3
77,Moses Brown,C,22,TOT,38,6,332,6.4,11.1,0.578,0,0,,6.4,11.1,0.578,4.7,7.8,0.597,4.1,10.3,14.4,0.1,0.8,1.7,2.2,5.4,17.5
78,Sterling Brown,SG,26,DAL,48,3,614,3.3,8.7,0.376,1.6,5.2,0.303,1.7,3.5,0.483,0.8,0.9,0.933,1.5,7,8.5,2,0.8,0.4,1.3,3.1,9
79,Troy Brown Jr.,SF,22,CHI,64,6,996,3.6,8.7,0.413,1.6,4.4,0.35,2,4.2,0.479,0.7,0.9,0.76,1.3,5.4,6.8,2.1,1.1,0.2,0.9,2.2,9.4
80,Jalen Brunson,PG,25,DAL,77,59,2477,7.2,14.4,0.503,1.3,3.5,0.372,5.9,10.9,0.545,2.5,3,0.841,0.6,3.7,4.4,5.4,1,0,1.8,2.2,18.3
81,Thomas Bryant,C,24,WAS,26,9,414,6.7,12.5,0.535,1,3.5,0.3,5.7,9,0.625,3,3.5,0.875,2.3,6.3,8.5,2,0.5,1.6,1.6,3.6,17.5
82,Shaq Buchanan,PG,25,MEM,2,0,10,3.6,14.4,0.25,0,7.2,0,3.6,7.2,0.5,0,0,,3.6,3.6,7.2,7.2,3.6,0,7.2,3.6,7.2
83,Reggie Bullock,SF,30,DAL,66,35,1849,3.9,9.5,0.406,2.7,7.5,0.363,1.1,2,0.562,0.8,0.9,0.83,0.6,4,4.6,1.6,0.8,0.3,0.7,2,11.2
84,Trey Burke,PG,29,DAL,40,0,420,6.9,17.7,0.393,2.1,6.9,0.313,4.8,10.8,0.444,1.7,2,0.87,0.3,2.3,2.7,4.5,0.9,0,2.2,3.2,17.7
85,Alec Burks,SG,30,NYK,79,42,2245,4.5,11.4,0.393,2.5,6.1,0.406,2,5.3,0.378,3.4,4.2,0.823,0.7,5.5,6.2,3.6,1.3,0.4,1.4,3.3,14.9
86,Jared Butler,SG,21,UTA,40,1,334,6.3,15.5,0.403,2.9,9.1,0.321,3.3,6.5,0.517,0.8,1.3,0.583,0.5,4,4.5,6.5,1.7,0.8,3.3,4.7,16.2
87,Jimmy Butler,SF,32,MIA,56,56,1894,7.5,15.6,0.48,0.5,2.2,0.237,7,13.4,0.519,7.3,8.4,0.871,1.9,4.4,6.3,5.9,1.8,0.5,2.2,1.6,22.8
88,Devontae Cacok,PF,25,SAS,12,0,94,7.3,10.3,0.704,0,0,,7.3,10.3,0.704,1.5,2.7,0.571,2.7,11.5,14.2,1.9,2.7,2.7,0.8,4.6,16.1
89,Kentavious Caldwell-Pope,SG,28,WAS,77,77,2329,5.6,12.8,0.435,2.5,6.3,0.39,3.1,6.5,0.48,2.1,2.4,0.89,0.6,3.4,4,2.2,1.3,0.4,1.5,2.1,15.7
90,Facundo Campazzo,PG,30,DEN,63,4,1173,3.3,8.9,0.364,1.7,5.8,0.302,1.5,3.1,0.48,1.8,2.4,0.769,0.7,2.9,3.6,6.6,1.9,0.7,2,3.8,10.1
91,Vlatko Čančar,PF,24,DEN,14,1,152,5.2,9.2,0.564,1.7,2.8,0.583,3.6,6.4,0.556,2.1,2.8,0.75,1.4,4,5.4,3.1,0.5,0.7,1.9,3.1,14.2
92,Devin Cannady,PG,25,ORL,3,0,84,3,9.4,0.318,3,7.3,0.412,0,2.1,0,0.9,1.7,0.5,0.4,2.1,2.6,3,2.1,0.9,1.7,2.1,9.9
93,Clint Capela,C,27,ATL,72,71,1991,6.4,10.5,0.609,0,0,0,6.4,10.5,0.61,1.4,2.9,0.463,4.8,10.6,15.4,1.7,1,1.6,0.8,2.9,14.2
94,Vernon Carey Jr.,C,20,TOT,5,1,18,6,12,0.5,0,0,,6,12,0.5,4,6,0.667,6,4,10,0,2,0,2,2,16
95,Jevon Carter,PG,26,TOT,63,2,847,4.1,10.2,0.402,2.7,6.9,0.393,1.4,3.2,0.421,0.6,0.8,0.833,0.6,3.8,4.3,3.7,0.9,0.6,1.4,2.6,11.5
96,Wendell Carter Jr.,C,22,ORL,62,61,1852,7,13.3,0.525,1.4,4.2,0.327,5.6,9.1,0.615,2.8,4,0.691,2.7,9.9,12.6,3.3,0.7,0.8,2.3,3.3,18.1
97,Alex Caruso,SG,27,CHI,41,18,1147,3.2,8,0.398,1.3,4,0.333,1.9,4.1,0.462,1.8,2.3,0.795,1,3.6,4.6,5.2,2.2,0.5,1.8,3.3,9.5
98,Willie Cauley-Stein,C,28,TOT,20,2,183,3.1,6.9,0.457,0.2,0.4,0.5,3,6.5,0.455,0.2,0.4,0.5,2.6,5.3,7.9,2,1.2,0.6,1.4,3.7,6.7
99,Ahmad Caver,PG,25,IND,1,0,1,36,36,1,0,0,,36,36,1,0,0,,0,0,0,0,0,0,0,0,72
100,Justin Champagnie,SF,20,TOR,35,0,274,3.9,8.5,0.462,1.2,3.4,0.346,2.8,5.1,0.538,1.2,1.2,1,4.9,4.3,9.2,1.4,0.9,0.5,0.9,4.2,10.2
101,Zylan Cheatham,SF,26,UTA,1,0,5,0,21.6,0,0,14.4,0,0,7.2,0,0,0,,0,0,0,0,0,0,0,0,0
102,Chris Chiozza,PG,26,GSW,34,1,372,2.3,7.8,0.296,1.6,5.1,0.321,0.7,2.7,0.25,0.2,0.3,0.667,0.9,2.6,3.5,6.3,1.3,0,3.1,3.1,6.5
103,Marquese Chriss,PF,24,DAL,33,0,325,6.6,14.1,0.472,0.9,2.8,0.32,5.8,11.3,0.51,2.2,3.4,0.645,3.3,7.8,11.1,1.9,1.4,1.3,1.9,6.8,16.4
104,Josh Christopher,SG,20,HOU,72,2,1284,6,13.5,0.442,1.5,5.1,0.297,4.5,8.4,0.53,2.3,3.1,0.743,1.5,3.6,5,4,1.8,0.4,3.1,2.5,15.7
105,Gary Clark,PF,27,NOP,35,1,333,2.9,8.2,0.355,2.6,6.8,0.381,0.3,1.4,0.231,0.6,0.9,0.75,1.8,6.9,8.8,1.5,1.2,0.8,0.8,2.1,9.1
106,Brandon Clarke,PF,25,MEM,62,1,1215,8.1,12.7,0.635,0.1,0.7,0.227,7.9,12.1,0.657,2.5,3.8,0.656,3.9,6,9.9,2.5,1.1,2,1,3.6,18.8
107,Jordan Clarkson,SG,29,UTA,77,1,2090,7.9,18.8,0.422,3.2,10,0.321,4.7,8.8,0.537,2.4,2.9,0.825,1.1,3.4,4.5,3.3,1.1,0.3,2.2,2.5,21.5
108,Nic Claxton,C,22,BRK,45,19,935,6.5,9.8,0.667,0,0,,6.5,9.8,0.667,2,3.5,0.571,3.4,6.3,9.7,1.5,0.9,1.9,1.4,3.9,15.1
109,Amir Coffey,SG,24,LAC,67,29,1520,4.7,10.5,0.446,2.1,5.8,0.365,2.6,4.7,0.545,2.3,2.7,0.861,0.6,3.8,4.4,2.8,0.9,0.3,1,2,13.8
110,John Collins,PF,24,ATL,54,53,1663,7.3,13.9,0.526,1.4,3.8,0.364,6,10.1,0.588,2.9,3.7,0.793,2,7.1,9.1,2.1,0.7,1.2,1.3,3.6,19
111,Zach Collins,PF,24,SAS,25,3,449,5.4,11.2,0.479,1,3,0.324,4.4,8.3,0.534,3.5,4.5,0.786,3.7,7.3,11,4.3,0.8,1.4,3.3,4.7,15.2
112,Darren Collison,PG,34,LAL,3,0,37,1.9,6.8,0.286,0,2.9,0,1.9,3.9,0.5,0,0,,0,3.9,3.9,1.9,1,0,1,4.9,3.9
113,Mike Conley,PG,34,UTA,70,70,1999,6,13.8,0.437,3,7.2,0.41,3,6.5,0.466,2.3,2.8,0.808,0.8,3,3.8,6.7,1.7,0.4,2.2,2.4,17.3
114,Pat Connaughton,SG,29,MIL,63,19,1647,4.9,10.5,0.461,3.1,7.9,0.394,1.7,2.7,0.656,0.9,1.1,0.827,0.9,4.9,5.8,1.7,1.2,0.3,0.7,1.8,13.7
115,Tyler Cook,PF,24,CHI,19,2,196,4,6.6,0.611,0,0,,4,6.6,0.611,3.7,5.7,0.645,2.9,6.6,9.6,0.6,0.7,0.7,1.3,4.8,11.8
116,Sharife Cooper,PG,20,ATL,12,0,37,2.9,13.6,0.214,1,5.8,0.167,1.9,7.8,0.25,0,0,,0,4.9,4.9,4.9,0,0,4.9,1,6.8
117,Petr Cornelie,PF,26,DEN,13,0,38,4.7,14.2,0.333,0.9,7.6,0.125,3.8,6.6,0.571,2.8,3.8,0.75,6.6,6.6,13.3,2.8,0.9,0.9,3.8,6.6,13.3
118,DeMarcus Cousins,C,31,TOT,46,6,690,7.5,16.5,0.456,1.8,6.2,0.297,5.7,10.3,0.551,4.6,6.1,0.761,3.7,10,13.6,3.4,1.8,1,4.3,7,21.5
119,Robert Covington,PF-SF,31,TOT,69,41,1907,3.9,9.2,0.42,2.3,6.2,0.376,1.5,2.9,0.513,1,1.2,0.833,1.1,6.1,7.1,1.7,1.9,1.7,1.4,3.5,11.1
120,Torrey Craig,SF,31,TOT,76,16,1557,4.5,9.8,0.455,1.7,5.1,0.329,2.8,4.7,0.593,0.9,1.2,0.75,1.9,5.2,7.1,2,1.1,0.8,1.5,3.4,11.6
121,Jae Crowder,PF,31,PHO,66,66,1860,4.2,10.4,0.4,2.4,7,0.349,1.7,3.4,0.506,1.4,1.7,0.789,0.6,6.1,6.7,2.4,1.8,0.6,1.1,3.3,12.1
122,Jarrett Culver,SG,22,MEM,36,0,307,5.4,14,0.387,1.2,4.8,0.244,4.2,9.1,0.462,1.6,3.4,0.483,1.5,3.9,5.4,3.8,2.2,0.6,2.1,4.6,13.6
123,Jarron Cumberland,SG,24,POR,3,0,12,3,6,0.5,0,3,0,3,3,1,0,0,,3,6,9,3,0,0,0,6,6
124,Cade Cunningham,PG,20,DET,63,63,2050,7.4,17.8,0.418,2,6.3,0.318,5.4,11.5,0.472,2.5,2.9,0.843,1,5.1,6.1,6.1,1.4,0.7,4,3.4,19.3
125,Seth Curry,SG,31,TOT,63,63,2106,6.1,12.5,0.486,2.7,6.3,0.424,3.4,6.2,0.55,1.4,1.6,0.872,0.3,3,3.4,3.9,0.9,0.2,1.8,2.5,16.2
126,Stephen Curry,PG,33,GSW,64,64,2211,8.7,19.9,0.437,4.6,12.2,0.38,4.1,7.7,0.527,4.5,4.9,0.923,0.6,4.9,5.5,6.6,1.4,0.4,3.4,2.1,26.5
127,Anthony Davis,C,28,LAL,40,40,1404,9.5,17.8,0.532,0.3,1.8,0.186,9.2,16,0.571,4.5,6.3,0.713,2.7,7.4,10.1,3.1,1.3,2.3,2.1,2.5,23.8
128,Ed Davis,C,32,CLE,30,3,200,2,2.9,0.688,0,0,,2,2.9,0.688,1.1,2.5,0.429,2.5,9,11.5,1.3,0.5,1.6,0.9,5.9,5
129,Terence Davis,SG,24,SAC,30,11,536,7.6,17.9,0.423,3.3,10,0.329,4.3,7.9,0.542,2.4,3,0.818,0.7,5.6,6.3,2.7,1.7,0.7,2.2,4.7,20.9
130,Gabriel Deck,PF,26,OKC,7,0,56,5.1,9,0.571,1.3,2.6,0.5,3.9,6.4,0.6,0,0,,0.6,3.2,3.9,3.2,0.6,0,1.3,1.3,11.6
131,Dewayne Dedmon,C,32,MIA,66,15,1050,5.6,9.9,0.566,0.7,1.6,0.413,4.9,8.3,0.595,2.5,3.4,0.755,3.6,9.5,13.1,1.6,0.8,1.4,2.4,5.9,14.4
132,Sam Dekker,PF,27,TOR,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
133,Javin DeLaurier,C,23,MIL,1,0,3,0,0,,0,0,,0,0,,0,0,,0,12,12,0,12,0,0,12,0
134,DeMar DeRozan,PF,32,CHI,75,75,2713,10.2,20.2,0.504,0.7,1.9,0.355,9.5,18.3,0.519,6.9,7.8,0.878,0.7,4.4,5.2,4.9,0.9,0.3,2.3,2.3,27.9
