Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
499,Pascal Siakam,PF,27,TOR,66,66,2501,8.2,16.6,0.494,1.1,3,0.354,7.1,13.6,0.524,3.9,5.2,0.747,1.8,6.3,8,4.9,1.2,0.6,2.5,3.2,21.4
500,Chris Silva,PF,25,TOT,10,0,91,3.2,5.9,0.533,0,0,,3.2,5.9,0.533,4,4.7,0.833,5.1,9.1,14.2,2.8,0,0.4,3.2,7.9,10.3
501,Marko Simonovic,C,22,CHI,9,0,35,4.1,15.4,0.267,1,5.1,0.2,3.1,10.3,0.3,8.2,11.3,0.727,5.1,5.1,10.3,0,1,1,2.1,6.2,17.5
502,Anfernee Simons,SG,22,POR,57,30,1681,7.6,17.1,0.443,3.8,9.5,0.405,3.7,7.6,0.49,2.2,2.5,0.888,0.6,2.7,3.2,4.7,0.6,0.1,2.5,2.4,21.2
503,Zavier Simpson,PG,24,OKC,2,2,82,3.1,9.7,0.318,0,0.9,0,3.1,8.8,0.35,0,0,,0.4,2.2,2.6,7,1.8,0.9,2.6,2.6,6.1
504,Jericho Sims,PF,23,NYK,39,3,482,2.6,3.4,0.761,0,0,,2.6,3.4,0.761,0.6,1.9,0.32,4,6.9,10.9,1.3,0.6,1.5,1.2,4.5,5.8
505,Deividas Sirvydis,SG,21,DET,3,0,27,1.3,13.3,0.1,1.3,9.3,0.143,0,4,0,0,0,,0,8,8,1.3,4,1.3,0,5.3,4
506,Javonte Smart,PG,22,TOT,16,1,166,2.4,10,0.239,0.9,4.1,0.211,1.5,5.9,0.259,1.1,1.3,0.833,0.9,3.3,4.1,3.3,1.1,0.4,2,2.4,6.7
507,Marcus Smart,PG,27,BOS,69,69,2240,4.6,11.2,0.414,1.8,5.5,0.326,2.8,5.6,0.501,2.3,2.8,0.791,0.7,3.6,4.3,6.5,1.9,0.3,2.5,2.5,13.3
508,Dennis Smith Jr.,PG,24,POR,37,4,638,4.5,10.7,0.418,0.3,1.5,0.222,4.1,9.1,0.451,2.4,3.6,0.656,1.1,3.8,5,7.4,2.5,0.7,2.9,2.9,11.6
